建築物名稱,類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容量人數,備註
台大商務套房,大樓,HNB00216,十興里,新竹縣竹北市十興里勝利六街50、52號,"24.8250862,121.0257691",1,1281.0,
雅典,大樓,HNB00217,十興里,新竹縣竹北市十興里莊敬三路82號,"24.82324,121.025568",2,446.0,
六家華夏,大樓,HNB00218,中興里,新竹縣竹北市中興里嘉豐五路一段150號,"24.8136346,121.0294396",1,1280.0,
封爵社區,大樓,HNB00219,十興里,新竹縣竹北市十興里勝利五路35號,"24.8245662,121.0252611",3,1378.0,
"寶佳建設 寶佳桂冠大樓",大樓,HNB00220,鹿場里,新竹縣竹北市鹿場里成功一街71號,"24.8203458,121.0246185",3,2852.0,
涵碧樓,大樓,HNB00221,中興里,新竹縣竹北市中興里自強南路59巷1號,"24.8179753,121.0270827",2,2604.0,
"昌益建設 蔚藍海",大樓,HNB00222,十興里,新竹縣竹北市十興里莊敬三路42號,"24.8223647,121.0252867",2,7369.0,
台大傳家,大樓,HNB00223,十興里,新竹縣竹北市十興里莊敬北路112號,"24.8253689,121.0245217",2,1586.0,
"翔鑫建設 麗緻社區大樓",大樓,HNB00224,鹿場里,新竹縣竹北市鹿場里成功八路238號,"24.8165076,121.0209337",2,2437.0,
富廣開發及華園建設-vision社區,大樓,HNB00225,鹿場里,新竹縣竹北市鹿場里自強三路5號,"24.8190585,121.0187448",2,3615.0,
"勝華建設 陝隱",大樓,HNB00226,十興里,新竹縣竹北市十興里莊敬六街3號,"24.8206199,121.0272009",1,5660.0,
"巨寶建設 竹北春天",大樓,HNB00227,鹿場里,新竹縣竹北市鹿場里成功六街55號,"24.818488,121.0205279",2,1180.0,
"嘉璟建設 竹北101",大樓,HNB00228,十興里,新竹縣竹北市十興里莊敬五街41-1號,"24.8222022,121.0262514",1,22291.0,
"圓家華建設 家華國寶",大樓,HNB00229,鹿場里,新竹縣竹北市鹿場里成功一街103號,"24.8201318,121.0252869",1,2600.0,
九宇建設,大樓,HNB00230,中興里,新竹縣竹北市中興里嘉豐一街141號,"24.8142006,121.0268961",2,563.0,
"豐邑建設 雲門琉璃",大樓,HNB00231,鹿場里,新竹縣竹北市鹿場里福興東路一段170號,"24.8190548,121.0204553",2,2577.0,
世紀皇家,大樓,HNB00232,十興里,新竹縣竹北市十興里勝利六路45號,"24.8253436,121.0254178",2,1055.0,
坤山建設公司,大樓,HNB00233,中興里,新竹縣竹北市中興里2鄰嘉豐五路一段188號,"24.8125291,121.028438",2,3787.0,
凱旋,大樓,HNB00234,十興里,新竹縣竹北市十興里莊敬三路103號,"24.8245383,121.0259005",2,1084.0,
戀戀台大,大樓,HNB00235,十興里,新竹縣竹北市十興里勝利七路一段120號,"24.825688,121.0265998",2,2716.0,
"源璟建設 臻愛香榭",大樓,HNB00236,十興里,新竹縣竹北市十興里11鄰莊敬五街20-78之1號,"24.8215665,121.0259757",1,24220.0,
"寶佳建設 藏真",大樓,HNB00237,中興里,新竹縣竹北市中興里2鄰復興三路1段60號,"24.8131485,121.0284095",2,4814.0,
"豐邑建設 月光琉璃",大樓,HNB00238,十興里,新竹縣竹北市十興里28鄰莊敬北路90號,"24.8241485,121.0240841",1,1736.0,
六家國小,公寓,HNB00239,鹿場里,新竹縣竹北市鹿場里嘉興路62號,"24.8140988,121.0249489",1,446.0,
公寓,公寓,HNB00240,十興里,新竹縣竹北市十興里莊敬三路82號,"24.82324,121.025568",1,156.0,
大易春秋,大樓,HNB00241,十興里,新竹縣竹北市十興里勝利七路一段152號,"24.825688,121.0265998",2,1208.0,
大樓,大樓,HNB00242,中興里,新竹縣竹北市中興里幸福街9號,"24.8116247,121.0331233",1,500.0,
大樓,大樓,HNB00243,十興里,新竹縣竹北市十興里嘉豐五路一段9號,"24.815192,121.0314994",1,1150.0,
僑馥建設,大樓,HNB00244,中興里,新竹縣竹北市中興里9鄰嘉豐3街56號,"24.815014,121.0294013",2,4301.0,
"嘉璟建設 臻愛竹北社區",大樓,HNB00245,十興里,新竹縣竹北市十興里日興一街40號,"24.813884,121.0356205",1,4279.0,
"豐邑建設 達文溪社區",大樓,HNB00246,鹿場里,新竹縣竹北市鹿場里1鄰光明6路東1段296號,"24.8198724,121.0269637",1,33608.0,
"椰林建設 雙園社區",大樓,HNB00247,中興里,新竹縣竹北市中興里嘉豐2街1段155號,"24.8134089,121.0273387",2,2541.0,
晶城國際,大樓,HNB00248,鹿場里,新竹縣竹北市鹿場里成功5街63號,"24.8190122,121.0232414",1,617.0,
新竹縣政府-十興國小,公寓,HNB00249,十興里,新竹縣竹北市十興里莊敬北路66號,"24.8241484,121.0240752",1,2256.0,
豐邑建設-大隱琉璃,大樓,HNB00250,十興里,新竹縣竹北市十興里勝利七街二段118號,"24.822173,121.034122",2,9286.0,
大自然,大樓,HNB00251,十興里,新竹縣竹北市十興里勝利七路二段132號,"24.825688,121.0265998",1,8976.0,
宜虹科技公司,公寓,HNB00252,十興里,新竹縣竹北市十興里勝利六街71號,"24.8248576,121.0266558",1,664.0,
大樓,大樓,HNB00253,中興里,新竹縣竹北市中興里復興一街96號,"24.8132095,121.0327544",1,362.0,
坤山建設公司-時代關邸,大樓,HNB00254,中興里,新竹縣竹北市中興里復興六路40號,"24.8116544,121.0290858",2,16224.0,
大濟建設公司-首相花園,大樓,HNB00255,中興里,新竹縣竹北市中興里復興一街80號,"24.8160502,121.0300992",2,6781.0,
椰林建設公司-椰林首璽1期,大樓,HNB00256,鹿場里,新竹縣竹北市鹿場里成功一路20號,"24.8154575,121.0191751",2,1586.0,
椰林建設公司-椰林首璽2期,大樓,HNB00257,鹿場里,新竹縣竹北市鹿場里成功一路148號,"24.8154575,121.0191751",2,1268.0,
人間琉璃,大樓,HNB00258,十興里,新竹縣竹北市十興里莊敬北路100號,"24.8252031,121.0244504",2,1736.0,
竹冠建設公司-富翼,大樓,HNB00259,中興里,新竹縣竹北市中興里6鄰嘉豐十一路一段100號,"24.8085259,121.035359",3,6743.0,
藏龍社區,公寓,HNB00260,中興里,新竹縣竹北市中興里嘉豐一街21號,"24.8170936,121.0297515",1,673.0,
大樓,大樓,HNB00261,十興里,新竹縣竹北市十興里26鄰勝利三街18號,"24.8233735,121.0260595",1,191.0,
時代之上,大樓,HNB00262,中興里,新竹縣竹北市中興里復興六路13號,"24.8126681,121.0278842",1,3787.0,
豐邑建設-寶格麗,大樓,HNB00263,中興里,新竹縣竹北市中興里光明六路東二段348號,"24.8124403,121.0350887",1,6734.0,
大任建設開發,大樓,HNB00264,鹿場里,新竹縣竹北市鹿場里3鄰自強7街50號,"24.8189535,121.0262503",1,1055.0,
日安巴黎,大樓,HNB00265,鹿場里,新竹縣竹北市鹿場里成功一街75號,"24.8202238,121.0250406",2,1677.0,
台新建設-新東方VISION,大樓,HNB00266,中興里,新竹縣竹北市中興里5鄰復興7路68號,"24.80961,121.0324867",2,5186.0,
椰林建設-時尚廣場,大樓,HNB00267,中興里,新竹縣竹北市中興里8鄰嘉豐11路1段27號,"24.8105415,121.0370311",2,5769.0,
椰寶建設-首璽3,大樓,HNB00268,鹿場里,新竹縣竹北市鹿場里7鄰莊敬南路65號,"24.8178552,121.0209983",2,1084.0,
昌益真藏,大樓,HNB00269,十興里,新竹縣竹北市十興里成功三路38號,"24.8195054,121.0228791",2,479.0,
潤達建設-IF社區,大樓,HNB00270,中興里,新竹縣竹北市中興里13鄰嘉豐南路32號,"24.8116014,121.0344728",1,704.0,
翔鑫建設-德鑫御品社區,大樓,HNB00271,鹿場里,新竹縣竹北市鹿場里10鄰成功六街223號,"24.8170172,121.0243936",3,3354.0,
合眾建設公司,大樓,HNB00272,中興里,新竹縣竹北市中興里7鄰光明六路東二段250號,"24.8137402,121.0332697",2,6530.0,
泉茂開發公司,大樓,HNB00273,中興里,新竹縣竹北市中興里1鄰嘉興路181號,"24.8170762,121.027204",1,158.0,
富廣開發公司,大樓,HNB00274,中興里,新竹縣竹北市中興里9鄰嘉豐6路1段17號,"24.81374,121.032191",2,4749.0,
鼎毅建設,大樓,HNB00275,鹿場里,新竹縣竹北市鹿場里7鄰成功七街178號,"24.8169056,121.0220871",2,1175.0,
承恩建設喜來登,大樓,HNB00276,十興里,新竹縣竹北市十興里11鄰光明六路東一段263號,"24.8203899,121.0279632",1,64337.0,
德鑫建設公司,大樓,HNB00277,中興里,新竹縣竹北市中興里9鄰嘉豐二街1段21號,"24.8162364,121.0297989",2,13089.0,
國立台灣大學,大樓,HNB00278,十興里,新竹縣竹北市十興里27鄰莊敬一路88號,"24.8239682,121.019613",1,2244.0,
暐記開發實業（馥邑雙星）,大樓,HNB00279,中興里,新竹縣竹北市中興里6鄰文興路二段519號,"24.8075536,121.0342818",1,6545.0,
新竹縣政府成功國中,公寓,HNB00280,鹿場里,新竹縣竹北市鹿場里5鄰成功八路99號,"24.8188646,121.0173831",1,365.0,
翔鑫建設,大樓,HNB00281,鹿場里,新竹縣竹北市鹿場里12鄰成功五街255號,"24.8193279,121.0220294",2,2268.0,
富米建設,大樓,HNB00282,中興里,新竹縣竹北市中興里13鄰文興路1段39號,"24.8131449,121.0238309",2,3934.0,
巨寶建設,大樓,HNB00283,中興里,新竹縣竹北市中興里9鄰嘉豐二街1段61號,"24.8152779,121.0289624",2,4470.0,
大千琉璃,大樓,HNB00284,鹿場里,新竹縣竹北市鹿場里光明六路東一段286號,"24.8200941,121.0266194",1,3582.0,
里仁唯美,大樓,HNB00285,鹿場里,新竹縣竹北市鹿場里成功三路148號,"24.8184771,121.0253299",2,6530.0,
帝景,大樓,HNB00286,鹿場里,新竹縣竹北市鹿場里莊敬南路52號,"24.818956,121.0210082",2,2072.0,
首馥,大樓,HNB00287,鹿場里,新竹縣竹北市鹿場里成功六街83號,"24.8184087,121.0207265",2,4748.0,
坤山建設,大樓,HNB00288,中興里,新竹縣竹北市中興里復興一路129號,"24.8111699,121.0320766",2,4520.0,
麗寶層峰,大樓,HNB00289,鹿場里,新竹縣竹北市鹿場里福興東一段160號,"24.8191953,121.0208018",1,2061.0,
大有可為,大樓,HNB00290,十興里,新竹縣竹北市十興里莊敬六街33號,"24.8216759,121.0276169",2,8087.0,
鴻築建設,大樓,HNB00291,鹿場里,新竹縣竹北市鹿場里7鄰文興路163號,"24.8160927,121.0179619",1,4792.0,
德鑫建設,大樓,HNB00292,鹿場里,新竹縣竹北市鹿場里5鄰興學街10號,"24.8160448,121.0162061",2,3992.0,
禾寅建設,大樓,HNB00293,中興里,新竹縣竹北市中興里2鄰復興6路1號,"24.8128229,121.0269816",2,1159.0,
六家加油站股份有限公司,大樓,HNB00294,鹿場里,新竹縣竹北市鹿場里8鄰文興路321號,"24.8140958,121.0220048",2,403.0,
富米建設,大樓,HNB00295,鹿場里,新竹縣竹北市鹿場里12鄰成功15街52號,"24.811552,121.021457",2,1086.0,
大樓,大樓,HNB00296,十興里,新竹縣竹北市十興里20鄰嘉興一街31號,"24.824322,121.0329831",1,579.0,
源璟建設,大樓,HNB00297,鹿場里,新竹縣竹北市鹿場里7鄰自強三路51號,"24.8173011,121.0180606",1,2945.0,
鴻柏建設,大樓,HNB00298,鹿場里,新竹縣竹北市鹿場里8鄰成功十街105號,"24.8150005,121.0233374",2,2953.0,
美地建設,大樓,HNB00299,鹿場里,新竹縣竹北市鹿場里4鄰成功二街17號,"24.820372,121.0228644",2,1507.0,
太睿建設,大樓,HNB00300,鹿場里,新竹縣竹北市鹿場里5鄰成功九街91-1號,"24.8176078,121.0169026",2,5513.0,
合陽建設,大樓,HNB00301,鹿場里,新竹縣竹北市鹿場里7鄰成功8路198號,"24.8170465,121.0193764",1,4636.0,
富宇建設,大樓,HNB00302,中興里,新竹縣竹北市中興里5鄰復興3路1段202-1號,"24.8139366,121.0277903",2,3257.0,
盛亞建設,大樓,HNB00303,中興里,新竹縣竹北市中興里9鄰復興2路71號,"24.8118344,121.0334585",2,2628.0,
昌禾開發,大樓,HNB00304,鹿場里,新竹縣竹北市鹿場里5鄰文興路39號,"24.8177284,121.0155413",2,5843.0,
鼎毅建設,大樓,HNB00305,十興里,新竹縣竹北市十興里27鄰勝利二路38號,"24.8230161,121.0250009",2,1476.0,
富宇建設,大樓,HNB00306,鹿場里,新竹縣竹北市鹿場里3鄰成功二街91號,"24.8196327,121.0247505",2,2674.0,
昌禾開發,大樓,HNB00307,鹿場里,新竹縣竹北市鹿場里9鄰成功十五街31號,"24.8119251,121.0213008",2,2244.0,
仁發建築開發,大樓,HNB00308,鹿場里,新竹縣竹北市鹿場里5鄰自強三路226號,"24.8146875,121.0161524",1,3177.0,
新竹縣立六家國中,公寓,HNB00309,十興里,新竹縣竹北市十興里6鄰嘉興路356號,"24.8210147,121.0318342",1,1687.0,
閎基開發建設,大樓,HNB00310,中興里,新竹縣竹北市中興里1鄰嘉豐一街110號,"24.8157758,121.0280724",2,485.0,
大樓,大樓,HNB00311,十興里,新竹縣竹北市十興里20鄰嘉興一街5號,"24.8235839,121.0324689",1,128.0,
大樓,大樓,HNB00312,十興里,新竹縣竹北市十興里20鄰嘉興一街7號,"24.8236912,121.0324551",1,128.0,
仟祥建設有限公司,大樓,HNB00313,中興里,新竹縣竹北市中興里5鄰嘉豐七街139號,"24.8103844,121.0316036",1,3201.0,
昌禾開發建設,大樓,HNB00314,十興里,新竹縣竹北市十興里26鄰莊敬五街112號,"24.8232849,121.0269485",2,3448.0,
名發建設開發,大樓,HNB00315,十興里,新竹縣竹北市十興里20鄰嘉興路505號,"24.8235503,121.0332173",3,2623.0,
太睿建設,大樓,HNB00316,鹿場里,新竹縣竹北市鹿場里10鄰福興東路一段370巷7號,"24.8175495,121.0248505",2,3043.0,
大硯建設,大樓,HNB00317,中興里,新竹縣竹北市中興里9鄰復興一街192號,"24.8132176,121.0326798",2,1200.0,
翔鑫建設,大樓,HNB00318,鹿場里,新竹縣竹北市鹿場里7鄰自強三路67號,"24.8168701,121.0177312",3,2434.0,
德鑫建設,大樓,HNB00319,鹿場里,新竹縣竹北市鹿場里4鄰光明六路東一段186號,"24.8209831,121.023756",1,4247.0,
安信建築經理,大樓,HNB00320,中興里,新竹縣竹北市中興里8鄰復興二路225號,"24.8099239,121.0382013",1,5406.0,
椰寶建設,大樓,HNB00321,鹿場里,新竹縣竹北市鹿場里7鄰成功八路128號,"24.8176612,121.0259064",2,3376.0,
閎基開發建設,大樓,HNB00322,中興里,新竹縣竹北市中興里13鄰嘉豐一街36號,"24.8171141,121.0295094",2,484.0,
大任建設開發,大樓,HNB00323,鹿場里,新竹縣竹北市鹿場里4鄰成功三路10號,"24.8197708,121.0223059",2,2700.0,
椰林建設,大樓,HNB00324,鹿場里,新竹縣竹北市鹿場里5鄰文興路83號,"24.8169474,121.0162065",3,4511.0,
盛裕建設公司,大樓,HNB00325,中興里,新竹縣竹北市中興里4鄰嘉豐六路一段67號,"24.8124514,121.0310335",3,3183.0,
盛裕建設公司,大樓,HNB00326,鹿場里,新竹縣竹北市鹿場里5鄰成功九街75號,"24.8176955,121.0166412",3,3380.0,
太睿建設,大樓,HNB00327,鹿場里,新竹縣竹北市鹿場里8鄰自強五路145號,"24.8155941,121.0221112",2,1444.0,
盛亞建設,大樓,HNB00328,鹿場里,新竹縣竹北市鹿場里5鄰興隆路二段99號,"24.8146368,121.0158832",2,3941.0,
椰林建設,大樓,HNB00329,十興里,新竹縣竹北市十興里21鄰莊敬七街109號,"24.8267002,121.0315309",2,5306.0,
楊林敏妹,大樓,HNB00330,十興里,新竹縣竹北市十興里22鄰勝利十街22號,"24.8261242,121.0287929",1,693.0,
東亞建設,大樓,HNB00331,十興里,新竹縣竹北市十興里21鄰莊敬七街91號,"24.8260802,121.0312433",3,2224.0,
大濟建設,大樓,HNB00332,鹿場里,新竹縣竹北市鹿場里9鄰成功十二街60號,"24.8135088,121.0209342",2,2237.0,
豐富建設,大樓,HNB00333,十興里,新竹縣竹北市十興里13鄰自強北路136號,"24.8218338,121.0301358",3,6169.0,
半畝塘建設,大樓,HNB00334,東興里,新竹縣竹北市東興里39鄰光明六路東二段38號,"24.8184072,121.0295666",1,2286.0,
禾寅建設,大樓,HNB00335,北興里,新竹縣竹北市北興里3鄰勝利八街一段207號,"24.8262995,121.0264718",1,3928.0,
公寓,公寓,HNB00336,鹿場里,新竹縣竹北市鹿場里25鄰成功九街48號,"24.8180205,121.0153446",1,310.0,
仁發建設,大樓,HNB00337,東興里,新竹縣竹北市東興里23鄰十興路二段86號,"24.8245395,121.034888",1,3565.0,
仁發建設,大樓,HNB00338,中興里,新竹縣竹北市中興里5鄰文興路二段25號,"24.8083437,121.0335381",3,1954.0,
禾寅建設,大樓,HNB00339,北興里,新竹縣竹北市北興里28鄰十興路一段500號,"24.827723,121.0300257",2,3386.0,
浩瀚開發建設,大樓,HNB00340,東興里,新竹縣竹北市東興里38鄰光明六路東二段331號,"24.8133757,121.0346556",1,6823.0,
太子建設,大樓,HNB00341,中興里,新竹縣竹北市中興里4鄰嘉豐南路一段82號,"24.8104581,121.0336256",3,4421.0,
鉅虹建設,大樓,HNB00342,中興里,新竹縣竹北市中興里7鄰光明六路東二段236號,"24.8140899,121.0329836",3,3155.0,
興築建設,大樓,HNB00343,北興里,新竹縣竹北市北興里1鄰十興路267號,"24.8309104,121.0258925",1,745.0,
六家國小,公寓,HNB00344,鹿場里,新竹縣竹北市鹿場里31鄰嘉興路62號,"24.8140988,121.0249489",1,834.0,
盛亞建設,大樓,HNB00345,東興里,新竹縣竹北市東興里22鄰嘉興路478號,"24.8242733,121.0341336",1,3008.0,
竹風建設,大樓,HNB00346,鹿場里,新竹縣竹北市鹿場里8鄰福興東路一段261號,"24.8176612,121.0259064",3,2115.0,
興築建設,大樓,HNB00347,東興里,新竹縣竹北市東興里6鄰嘉興路338巷32號,"24.8197247,121.0311412",1,3597.0,
仁發建築,大樓,HNB00348,東興里,新竹縣竹北市東興里28鄰嘉興路588號,"24.813225,121.0243244",1,3288.0,
時代開發,大樓,HNB00349,北興里,新竹縣竹北市北興里33鄰十興路一段540號,"24.8272009,121.0310374",3,3460.0,
合眾建築,大樓,HNB00350,鹿場里,新竹縣竹北市鹿場里24鄰成功八路32號,"24.8186143,121.0158516",3,3290.0,
佳泰建築,大樓,HNB00351,北興里,新竹縣竹北市北興里20鄰莊敬五路163號,"24.8271946,121.0285066",1,2513.0,
中麓建設,大樓,HNB00352,鹿場里,新竹縣竹北市鹿場里20鄰莊敬南路166號,"24.8163803,121.0194842",3,7004.0,
安信建設,大樓,HNB00353,中興里,新竹縣竹北市中興里6鄰嘉豐十一路115號,"24.8076791,121.0357451",1,12059.0,
合陽建設,大樓,HNB00354,鹿場里,新竹縣竹北市鹿場里21鄰成功八路180號,"24.8173787,121.019035",1,4564.0,
美地建設,大樓,HNB00355,鹿場里,新竹縣竹北市鹿場里19鄰文興路257號,"24.8149941,121.0204399",3,1839.0,
椰林建設,大樓,HNB00356,北興里,新竹縣竹北市北興里28鄰十興路一段472號,"24.8281555,121.0296815",3,2819.0,
新麗華建設,大樓,HNB00357,鹿場里,新竹縣竹北市鹿場里29鄰自強三路188號,"24.815847,121.016769",3,2471.0,
浩瀚開發建設,大樓,HNB00358,北興里,新竹縣竹北市北興里16鄰莊敬三路268號,"24.8272159,121.0275618",1,5203.0,
新竹縣政府,公寓,HNB00359,鹿場里,新竹縣竹北市鹿場里29鄰文興路88號,"24.816633,121.0156791",1,2181.0,
仁發建設,大樓,HNB00360,北興里,新竹縣竹北市北興里1鄰聯發街31號,"24.8296983,121.0255153",3,5186.0,
竹益建設,大樓,HNB00361,鹿場里,新竹縣竹北市鹿場里27鄰成功十三街30號,"24.8126824,121.021172",2,1693.0,
大樓,大樓,HNB00362,北興里,新竹縣竹北市北興里11鄰田厝街17號,"24.8290376,121.0267996",1,587.0,
大樓,大樓,HNB00363,鹿場里,新竹縣竹北市鹿場里自強南路216號,"24.8144777,121.0236644",2,339.0,
盛亞建設,大樓,HNB00364,鹿場里,新竹縣竹北市鹿場里19鄰成功十一街56號,"24.8158066,121.0205053",2,4610.0,
台灣新竹農田水利會,大樓,HNB00365,鹿場里,新竹縣竹北市鹿場里18鄰文興路333號,"24.8141042,121.0222237",3,2145.0,
德鑫建設,大樓,HNB00366,北興里,新竹縣竹北市北興里5鄰莊敬三路171號,"24.8264217,121.0268131",1,3982.0,
富宇建設,大樓,HNB00367,東興里,新竹縣竹北市東興里19鄰嘉興二街17號,"24.80877,121.045833",1,6895.0,
盛亞建設,大樓,HNB00368,鹿場里,新竹縣竹北市鹿場里26鄰成功十二街38號,"24.8128953,121.0219749",3,2648.0,
山璞建設,大樓,HNB00369,北興里,新竹縣竹北市北興里9鄰莊敬三路215號,"24.8218952,121.0247636",1,4267.0,
大城建設,大樓,HNB00370,中興里,新竹縣竹北市中興里13鄰光明六路東二段112號,"24.8165193,121.0309825",3,2369.0,
椰寶建設,大樓,HNB00371,東興里,新竹縣竹北市東興里29鄰十興五街120-1號,"24.824302,121.0364425",1,2866.0,
惠友建設,大樓,HNB00372,中興里,新竹縣竹北市中興里5鄰文興路二段1號,"24.808484,121.032979",1,2236.0,
國泰建設,大樓,HNB00373,中興里,新竹縣竹北市中興里5鄰復興三路二段8號,"24.8098011,121.0339482",3,5190.0,
台灣新竹地方法院,大樓,HNB00374,鹿場里,新竹縣竹北市鹿場里29鄰興隆路二段265號,"24.8121526,121.0192913",2,11264.0,
明銓建設,大樓,HNB00375,中興里,新竹縣竹北市中興里3鄰嘉豐五路一段213號,"24.8115692,121.0282884",3,3604.0,
盛亞建設,大樓,HNB00376,中興里,新竹縣竹北市中興里1鄰福興東路二段42號,"24.8158518,121.0265961",3,2012.0,
中麓建設,大樓,HNB00377,中興里,新竹縣竹北市中興里8鄰光明六路二段430號,"24.8107088,121.0383593",3,4889.0,
元曜建設,大樓,HNB00378,鹿場里,新竹縣竹北市鹿場里25鄰成功九街92號,"24.8177787,121.0160595",2,4255.0,
僑馥建設,大樓,HNB00379,東興里,新竹縣竹北市東興里42鄰東興路一段388號,"24.8146686,121.0354089",1,4667.0,
臺億建設,大樓,HNB00380,北興里,新竹縣竹北市北興里14鄰勝利八街一段225號,"24.8259236,121.0272019",1,9238.0,
鴻築建設,大樓,HNB00381,鹿場里,新竹縣竹北市鹿場里22鄰文興路195號,"24.8158007,121.0185247",1,3121.0,
大樓,大樓,HNB00382,北興里,新竹縣竹北市北興里30鄰勝利八街一段345號,"24.8247866,121.0294049",1,550.0,
禾寅建設,大樓,HNB00383,東興里,新竹縣竹北市東興里20鄰十興二街128號,"24.8232861,121.034671",1,5354.0,
美地建設,大樓,HNB00384,鹿場里,新竹縣竹北市鹿場里17鄰成功十一街105號,"24.8145761,121.0229146",2,2220.0,
新竹縣政府-安興國小,公寓,HNB00385,北興里,新竹縣竹北市北興里37鄰十興路一段435號,"24.8269193,121.0319786",1,3683.0,
大樓,大樓,HNB00387,東興里,新竹縣竹北市東興里自強北路418號,"24.8274933,121.0351379",1,225.0,
巨寶建設,大樓,HNB00388,北興里,新竹縣竹北市北興里勝利十一路118號,"24.8268033,121.0281112",1,2652.0,
"椰林建設 股 公司",大樓,HNB00389,鹿場里,新竹縣竹北市鹿場里15鄰成功十一街77號,"24.8148347,121.0222136",2,2363.0,
"興富發建設 股 公司",大樓,HNB00390,北興里,新竹縣竹北市北興里36鄰勝利十一路266號,"24.8255913,121.0311906",1,4124.0,
"大硯建設 股 公司",大樓,HNB00391,鹿場里,新竹縣竹北市鹿場里18鄰自強五路177號,"24.8145063,121.0213774",2,3297.0,
"鴻柏建設 股 公司",大樓,HNB00392,東興里,新竹縣竹北市東興里26鄰自強北路318號,"24.827683,121.0350407",1,3294.0,
若水建設開發股份有限公司,大樓,HNB00393,中興里,新竹縣竹北市中興里9鄰嘉豐南路一段38號,"24.8116014,121.0344728",3,3063.0,
恆生投資股份有限公司,大樓,HNB00394,鹿場里,新竹縣竹北市鹿場里12鄰自強南路182號,"24.8153882,121.0243265",1,1485.0,
東興國中,公寓,HNB00395,中興里,新竹縣竹北市中興里5鄰嘉豐六路一段101號,"24.8112358,121.0300938",1,3657.0,
佳陞建設股份有限公司,大樓,HNB00396,東興里,新竹縣竹北市東興里25鄰嘉興三街28號,"24.8232238,121.0350821",1,6749.0,
大榆二生活建築有限公司,大樓,HNB00397,東興里,新竹縣竹北市東興里38鄰光明六路東二段281號,"24.8138272,121.0343526",1,968.0,
暐夏投資開發股份有限公司,大樓,HNB00398,中興里,新竹縣竹北市中興里7鄰復興三路二段168號,"24.8076245,121.0383102",1,9703.0,
惠昇建設股份有限公司,大樓,HNB00399,中興里,新竹縣竹北市中興里9鄰福興東路二段121號,"24.814335,121.0289225",3,2525.0,
僑馥建築經理股份有限公司,大樓,HNB00400,北興里,新竹縣竹北市北興里25鄰勝利八街一段325號,"24.8249877,121.0291036",2,1569.0,
大樓,大樓,HNB00401,北興里,新竹縣竹北市北興里11鄰莊敬北街288號,"24.8295797,121.0266294",1,652.0,
臺灣新竹農田水利會會長,公寓,HNB00402,北興里,新竹縣竹北市北興里2鄰莊敬北路160號,"24.8268576,121.0253039",1,1979.0,
新慰加油站股份有限公司,大樓,HNB00403,鹿場里,新竹縣竹北市鹿場里24鄰成功八路68號,"24.8184382,121.0164173",1,871.0,
竹塹量堂有限公司代表人,大樓,HNB00404,鹿場里,新竹縣竹北市鹿場里27鄰成功十五街11號,"24.8122679,121.0207238",1,365.0,
僑馥建築經理公司,大樓,HNB00405,北興里,新竹縣竹北市北興里36鄰勝利八街ㄧ段383號,"24.8242412,121.0304409",1,4063.0,
興富發建設股份有限公司,大樓,HNB00406,北興里,新竹縣竹北市北興里11鄰田厝街27號,"24.828858,121.0268774",1,3426.0,
中華建築經理股份有限公司,大樓,HNB00407,中興里,新竹縣竹北市中興里10鄰嘉興路168巷23號,"24.8167807,121.0272253",3,9194.0,
半畝塘建設開發股份有限公司,大樓,HNB00408,東興里,新竹縣竹北市東興里光明六路東二段371號,"24.8128124,121.0358866",1,2887.0,
春竹租賃有限公司,大樓,HNB00409,北興里,新竹縣竹北市北興里26鄰勝利十街39號,"24.826,121.0294076",3,923.0,
新竹縣政府教育處,公寓,HNB00410,鹿場里,新竹縣竹北市鹿場里8鄰莊敬南路18號,"24.8198602,121.0213927",1,5045.0,
合眾建築經理股份有限公司,大樓,HNB00411,北興里,新竹縣竹北市北興里13鄰十興路ㄧ段255號,"24.8295671,121.0280482",3,3053.0,
佳泰建設股份有限公司,大樓,HNB00412,東興里,新竹縣竹北市東興里30鄰嘉興三街50號,"24.8242436,121.036154",1,3400.0,
大買家股份有限公司,大樓,HNB00413,中興里,新竹縣竹北市中興里4鄰復興三路ㄧ段197號,"24.8106165,121.0331293",3,2202.0,
椰寶建設股份有限公司,大樓,HNB00414,北興里,新竹縣竹北市北興里27鄰勝利十三街88號,"24.8272355,121.0299642",2,1558.0,
公寓,公寓,HNB00415,十興里,新竹縣竹北市十興里19鄰勝利三街8號,"24.8233474,121.0258816",1,199.0,
仁發建築開發有限公司,大樓,HNB00416,東興里,新竹縣竹北市東興里24鄰十興路二段150號,"24.8241288,121.0354399",1,6612.0,
名銓建設,大樓,HNB00417,中興里,新竹縣竹北市中興里7鄰復興一街125號,"24.8146594,121.0313417",2,3811.0,
台億建築經理有限公司,大樓,HNB00418,東興里,新竹縣竹北市東興里41鄰嘉豐北路36號,"24.8141225,121.0361655",1,3299.0,
椰寶建設,大樓,HNB00419,北興里,新竹縣竹北市北興里24鄰十興路一段275號,"24.829094,121.0284628",3,1897.0,
浩瀚開發建設,大樓,HNB00420,北興里,新竹縣竹北市北興里6鄰莊敬北路210號,"24.8279846,121.0256508",1,4095.0,
