電腦編號,地址,轄管分局,建築物名稱,縣(市),鄉鎮市區,避難樓層,"防空避難設備面積 (平方公尺)",是否兼作停車空間,"容量 （自動計算）","建檔日期 （西元年/月/日）","最後修正日期 （西元年/月/日）",不設標誌牌,placemark_address
KMA00455,南投市工業南一路9號,南投分局,台灣陶氏化學,南投縣,南投市,1.0,1117.0,v,775.0,1997.6.20,12/31/2022,,南投市工業南一路9號
KMA00692,南投市同源路8街18號,南投分局,全宏開發建設,南投縣,南投市,1.0,272.0,v,188.0,2018.1.3,12/31/2022,,南投市同源路8街18號
KMA00673,南投市同源路10街19號,南投分局,百晟建設,南投縣,南投市,1.0,46.9,v,32.0,2018.1.3,12/31/2022,,南投市同源路10街19號
KMA00514,南投市工業路27號,南投分局,冠好公司,南投縣,南投市,1.0,1531.0,v,1063.0,1997.6.20,12/31/2022,,南投市工業路27號
KMA00387,南投市工業路21號,南投分局,詠承企業,南投縣,南投市,1.0,600.0,v,416.0,1997.6.20,12/31/2022,,南投市工業路21號
KMA00656,南投市工業南一路16號,南投分局,順德工業,南投縣,南投市,1.0,2400.0,v,1666.0,1997.6.20,12/31/2022,,南投市工業南一路16號
KMA00493,南投市成功三路331號,南投分局,鴻利鑄造,南投縣,南投市,1.0,1160.0,v,805.0,1997.6.20,12/31/2022,,南投市成功三路331號
KMA00651,南投市工業南三路5號,南投分局,鉅鋐油封,南投縣,南投市,1.0,100.0,v,69.0,2018.1.3,12/31/2022,,南投市工業南三路5號
KMA00622,南投市仁和路148號,南投分局,榮豐工業,南投縣,南投市,1.0,1277.0,v,886.0,1997.6.20,12/31/2022,,南投市仁和路148號
KMA00317,南投市自強二路23號,南投分局,泰億機械,南投縣,南投市,1.0,196.62,v,136.0,1997.6.20,12/31/2022,,南投市自強二路23號
KMA00212,南投市自強三路23號,南投分局,超吉工業,南投縣,南投市,1.0,271.0,v,188.0,1997.6.20,12/31/2022,,南投市自強三路23號
KMA00339,南投市南崗三路26號,南投分局,中華電信,南投縣,南投市,1.0,1241.77,v,862.0,1997.6.20,12/31/2022,,南投市南崗三路26號
KMA00510,南投市工業路15號,南投分局,百晟工業,南投縣,南投市,1.0,1443.56,v,1002.0,1997.6.20,12/31/2022,,南投市工業路15號
KNA00014,南投市光華里光華路6號,中興分局,水保局,南投縣,南投市,1.0,564.1,,626.0,5/25/1991,12/31/2022,,南投市光華里光華路6號
KNA00017,南投市光華里光華路123號,中興分局,中興圖書館,南投縣,南投市,1.0,801.15,,890.0,8/27/1991,12/31/2022,,南投市光華里光華路123號
KNA00018,南投市光華里光華四路57號之8,中興分局,水保局,南投縣,南投市,1.0,89.52,,99.0,6/19/1992,12/31/2022,,南投市光華里光華四路57號之8
KNA00019,南投市光華里環山路57號,中興分局,署立中興醫院,南投縣,南投市,1.0,1572.35,v,1091.0,12/17/1992,12/31/2022,,南投市光華里環山路57號
KNA00023,南投市光華里光華路115號,中興分局,中興分局,南投縣,南投市,1.0,624.5,v,433.0,8/5/1994,12/31/2022,不設,南投市光華里光華路115號
KNA00026,南投市光華里中學路4號,中興分局,中興郵局,南投縣,南投市,1.0,359.69,v,249.0,2/15/1996,12/31/2022,不設,南投市光華里中學路4號
KNA00028,南投市光華里光華路66號,中興分局,員工消費合作社,南投縣,南投市,1.0,1899.17,,2110.0,8/14/1996,12/31/2022,,南投市光華里光華路66號
KNA00029,南投市光華里中學路2號,中興分局,中興高中,南投縣,南投市,1.0,1716.24,,1906.0,11/27/1997,12/31/2022,,南投市光華里中學路2號
KNA00033,南投市光營里光榮北路19之1號,中興分局,光榮國小,南投縣,南投市,1.0,593.62,,659.0,1/3/2002,12/31/2022,,南投市光營里光榮北路19之1號
KNA00031,南投市光輝里虎山路3號,中興分局,中興大學中區綜合大樓,南投縣,南投市,2.0,3045.37,v,2114.0,2/12/1997,12/31/2022,,南投市光輝里虎山路3號
KNA00012,南投市光輝里省府路4號,中興分局,經濟部中部辦公室,南投縣,南投市,1.0,19.0,v,13.0,6/20/1997,12/31/2022,,南投市光輝里省府路4號
KNA00032,南投市光輝里府西路71號,中興分局,水保局,南投縣,南投市,1.0,1443.38,v,1002.0,10/28/1998,12/31/2022,,南投市光輝里府西路71號
KNA00009,南投市營北里中正路220之6號,中興分局,聖徒教會,南投縣,南投市,1.0,148.57,,165.0,6/20/1997,12/31/2022,,南投市營北里中正路220之6號
KNA00013,南投市營北里中正路2號,中興分局,檔案管理局,南投縣,南投市,2.0,148.0,v,102.0,6/20/1997,12/31/2022,,南投市營北里中正路2號
KNA00041,南投市營北里中學西路55號,中興分局,一般住宅,南投縣,南投市,1.0,259.65,v,180.0,1/3/2018,12/31/2022,,南投市營北里中學西路55號
KNA00042,南投市營北里向上路217號,中興分局,福龍宮,南投縣,南投市,1.0,234.53,,260.0,1/3/2018,12/31/2022,,南投市營北里向上路217號
KNA00043,南投市營北里向上路2號,中興分局,營北國中,南投縣,南投市,1.0,199.66,,221.0,1/3/2018,12/31/2022,,南投市營北里向上路2號
KNA00044,南投市營北里向上路2號,中興分局,營北國中,南投縣,南投市,1.0,234.53,,260.0,1/3/2018,12/31/2022,,南投市營北里向上路2號
KNA00022,南投市光明里光明路27號,中興分局,原住民委員會,南投縣,南投市,1.0,739.28,,821.0,7/17/1993,12/31/2022,,南投市光明里光明路27號
KNA00003,南投市內興里光明一路300號,中興分局,交通部公路總局中部訓練中心,南投縣,南投市,1.0,1002.0,v,695.0,6/20/1997,12/31/2022,,南投市內興里光明一路300號
KNA00004,南投市光明里光明路25號,中興分局,主計處中部辦公室,南投縣,南投市,1.0,274.0,,304.0,6/20/1997,12/31/2022,,南投市光明里光明路25號
KNA00007,南投市光明里光榮東路二街34、36號,中興分局,役政署,南投縣,南投市,1.0,1491.48,,1657.0,6/20/1997,12/31/2022,,南投市光明里光榮東路二街34、36號
KNA00008,南投市光明里光明路35號,中興分局,光明派出所,南投縣,南投市,1.0,85.35,,94.0,6/20/1997,12/31/2022,不設,南投市光明里光明路35號
KNA00011,南投市光明里中正路648號,中興分局,光明郵局,南投縣,南投市,1.0,103.08,,114.0,6/12/1983,12/31/2022,不設,南投市光明里中正路648號
KNA00016,南投市光明里光榮東路二街38、40,中興分局,國家發展委員會,南投縣,南投市,1.0,506.2,,562.0,7/16/1991,12/31/2022,,南投市光明里光榮東路二街38、40
KNA00020,南投市光明里光榮東路二街42號至48號,中興分局,國家發展委員會,南投縣,南投市,1.0,1227.7,,1364.0,12/28/1992,12/31/2022,,南投市光明里光榮東路二街42號至48號
KNA00040,南投市光明里光明路1號,中興分局,公務人力發展學院,南投縣,南投市,1.0,2614.25,v,1815.0,1/3/2018,12/31/2022,,南投市光明里光明路1號
KNA00038,南投市內興里光明一路67號,中興分局,光復國小,南投縣,南投市,1.0,297.58,,330.0,1/3/2018,12/31/2022,,南投市內興里光明一路67號
KNA00039,南投市光明里光榮東路二街4巷1號至8號,中興分局,國家發展委員會,南投縣,南投市,1.0,202.01,,224.0,1/3/2018,12/31/2022,,南投市光明里光榮東路二街4巷1號至8號
KNA00002,南投市內興里中興路201號,中興分局,中科管理局,南投縣,南投市,1.0,179.0,,198.0,6/20/1997,12/31/2022,,南投市內興里中興路201號
KNA00035,南投市內興里中興路309號,中興分局,中興國中,南投縣,南投市,1.0,624.78,,694.0,1/3/2018,12/31/2022,,南投市內興里中興路309號
KNA00036,南投市內興里中興路182巷32號,中興分局,集合式住宅,南投縣,南投市,1.0,725.9,v,504.0,1/3/2018,12/31/2022,,南投市內興里中興路182巷32號
KNA00037,南投市內興里中興路182巷26號,中興分局,集合式住宅,南投縣,南投市,1.0,531.57,v,369.0,1/3/2018,12/31/2022,,南投市內興里中興路182巷26號
KNA00024,南投市內興里光明一路256號,中興分局,文獻委員會,南投縣,南投市,1.0,1654.36,v,1148.0,8/21/1995,12/31/2022,,南投市內興里光明一路256號
KNA00030,南投市內興里中興路200號,中興分局,德興國小,南投縣,南投市,1.0,1344.67,,1494.0,3/18/1998,12/31/2022,,南投市內興里中興路200號
KNA00021,南投市內興里南新路159巷1號,中興分局,社區管理委員會,南投縣,南投市,1.0,326.93,v,227.0,5/18/1993,12/31/2022,
KNA00027,南投市內興里南新路360號一樓之2,中興分局,集合式住宅,南投縣,南投市,1.0,298.47,v,207.0,4/1/2020,12/31/2022,,南投市內興里南新路360號一樓之2
KNA00034,南投市營南里營盤路136號,中興分局,營盤國小,南投縣,南投市,1.0,321.58,,357.0,1/3/2018,12/31/2022,,南投市營南里營盤路136號
KRA00281,南投縣草屯鎮上林里太平路1段351巷141號,草屯分局,環隆電子公司,南投縣,草屯鎮,1.0,1508.0,,1675.0,7/12/1983,12/31/2022,,南投縣草屯鎮上林里太平路1段351巷141號
KRA00381,南投縣草屯鎮上林里太平路1段351巷153號,草屯分局,環隆電子公司,南投縣,草屯鎮,1.0,1221.0,v,847.0,9/12/1985,12/31/2022,
KRA00294,南投縣草屯鎮上林里太平路1段537號,草屯分局,舜邦建設,南投縣,草屯鎮,1.0,660.0,v,458.0,10/16/1984,12/31/2022,,南投縣草屯鎮上林里太平路1段537號
KRA00230,南投縣草屯鎮上林里太平路1段307號,草屯分局,上毅建設,南投縣,草屯鎮,1.0,1073.0,,1192.0,10/16/1984,12/31/2022,,南投縣草屯鎮上林里太平路1段307號
KRA00318,南投縣草屯鎮上林里太平路1段351巷153號,草屯分局,環隆電子公司,南投縣,草屯鎮,1.0,6389.0,,7098.0,11/9/1986,12/31/2022,
KRA00357,南投縣草屯鎮上林里太平路1段443巷53號,草屯分局,一般住宅-星航企業,南投縣,草屯鎮,1.0,206.0,,228.0,11/12/1984,12/31/2022,,南投縣草屯鎮上林里太平路1段443巷53號
KRA00308,"南投縣草屯鎮山腳里虎山路332巷23號 ",草屯分局,美慶建設-秀山佳園二期,南投縣,草屯鎮,1.0,3200.0,v,2222.0,7/12/1984,12/31/2022,,南投縣草屯鎮山腳里虎山路332巷23號
KRA00238,南投縣草屯鎮山腳里虎山路438號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,953.0,v,661.0,11/12/1985,12/31/2022,,南投縣草屯鎮山腳里虎山路438號
KRA00257,南投縣草屯鎮山腳里虎山路256號,草屯分局,"漢鯨建設-水稻之歌第三期 ",南投縣,草屯鎮,1.0,423.0,v,293.0,7/12/1984,12/31/2022,,南投縣草屯鎮山腳里虎山路256號
KRA00322,南投縣草屯鎮山腳里虎山路437號,草屯分局,鴻銘建設,南投縣,草屯鎮,1.0,743.0,v,515.0,9/12/1984,12/31/2022,,南投縣草屯鎮山腳里虎山路437號
KRA00215,"南投縣草屯鎮山腳里虎山路494號 ",草屯分局,一般住宅,南投縣,草屯鎮,1.0,76.0,v,52.0,11/12/1984,12/31/2022,,南投縣草屯鎮山腳里虎山路494號
KRA00251,"南投縣草屯鎮山腳里富林路1段658號 ",草屯分局,"水稻之歌  第二期",南投縣,草屯鎮,1.0,1091.0,v,757.0,8/11/1983,12/31/2022,
KRA00298,"南投縣草屯鎮山腳里嘉興街51號 ",草屯分局,和康6期,南投縣,草屯鎮,1.0,266.0,v,184.0,8/12/1984,12/31/2022,,南投縣草屯鎮山腳里嘉興街51號
KRA00293,南投縣草屯鎮山腳里正氣街78號,草屯分局,甜蜜家庭,南投縣,草屯鎮,1.0,433.0,v,300.0,7/22/1982,12/31/2022,,南投縣草屯鎮山腳里正氣街78號
KRA00094,南投縣草屯鎮山腳里太平路1段200號,草屯分局,佑民醫院-A棟醫療大樓,南投縣,草屯鎮,1.0,845.0,,938.0,9/12/1982,12/31/2022,,南投縣草屯鎮山腳里太平路1段200號
KRA00246,"南投縣草屯鎮山腳里太平路1段200號 ",草屯分局,佑民醫院-B棟婦幼大樓,南投縣,草屯鎮,1.0,272.0,,302.0,11/18/1984,12/31/2022,,南投縣草屯鎮山腳里太平路1段200號
KRA00249,南投縣草屯鎮山腳里太平路1段202號,草屯分局,佑民醫院-A棟醫療大樓,南投縣,草屯鎮,1.0,504.0,,560.0,9/22/1984,12/31/2022,,南投縣草屯鎮山腳里太平路1段202號
KRA00096,南投縣草屯鎮山腳里太平路1段42號,草屯分局,台電公司-業務大樓B2,南投縣,草屯鎮,1.0,2102.0,v,1459.0,9/12/1982,12/31/2022,不設,南投縣草屯鎮山腳里太平路1段42號
KRA00108,南投縣草屯鎮山腳里太平路1段42號,草屯分局,台電公司-調度大樓,南投縣,草屯鎮,1.0,495.0,v,343.0,7/22/1983,12/31/2022,不設,南投縣草屯鎮山腳里太平路1段42號
KRA00116,南投縣草屯鎮山腳里太平路1段42號,草屯分局,台電公司-材料大樓,南投縣,草屯鎮,1.0,852.0,v,591.0,3/12/1984,12/31/2022,不設,南投縣草屯鎮山腳里太平路1段42號
KRA00117,南投縣草屯鎮山腳里太平路1段42號,草屯分局,台電公司-檢修大樓,南投縣,草屯鎮,1.0,1752.0,v,1216.0,4/22/1982,12/31/2022,不設,南投縣草屯鎮山腳里太平路1段42號
KRA00239,南投縣草屯鎮山腳里正興街245號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,1091.0,v,757.0,4/18/1985,12/31/2022,,南投縣草屯鎮山腳里正興街245號
KRA00286,南投縣草屯鎮山腳里正興街187號,草屯分局,宏柱建設,南投縣,草屯鎮,1.0,540.0,v,375.0,11/28/1985,12/31/2022,,南投縣草屯鎮山腳里正興街187號
KRA00278,"南投縣草屯鎮山腳里民生二街43號 ",草屯分局,孟慎建設（陽光大地）,南投縣,草屯鎮,1.0,2414.0,v,1676.0,7/22/1985,12/31/2022,,南投縣草屯鎮山腳里民生二街43號
KRA00289,南投縣草屯鎮山腳里虎山路153號,草屯分局,"水稻之歌 第六期",南投縣,草屯鎮,1.0,996.0,v,691.0,11/18/1986,12/31/2022,,南投縣草屯鎮山腳里虎山路153號
KRA00345,南投縣草屯鎮山腳里民權東街106號,草屯分局,養慧樓,南投縣,草屯鎮,1.0,1537.0,v,1067.0,1/3/2012,12/31/2022,,南投縣草屯鎮山腳里民權東街106號
KRA00353,南投縣草屯鎮山腳里太平路一段42號,草屯分局,台電公司-業務大樓B1,南投縣,草屯鎮,2.0,2662.0,v,1848.0,11/26/2004,12/31/2022,,南投縣草屯鎮山腳里太平路一段42號
KRA00366,南投縣草屯鎮山腳里05鄰民權東街102巷6號2樓,草屯分局,光慧文教-教學樓,南投縣,草屯鎮,1.0,755.0,,838.0,1/3/2017,12/31/2022,
KRA00118,南投縣草屯鎮中山里草溪路1048號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,42.0,,46.0,9/18/1983,12/31/2022,,南投縣草屯鎮中山里草溪路1048號
KRA00126,南投縣草屯鎮中山里中山街2號,草屯分局,台灣聖教會,南投縣,草屯鎮,1.0,143.0,,158.0,8/17/1982,12/31/2022,,南投縣草屯鎮中山里中山街2號
KRA00180,南投縣草屯鎮中山里中山街25號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,21.0,,23.0,8/27/1982,12/31/2022,,南投縣草屯鎮中山里中山街25號
KRA00181,南投縣草屯鎮中山里中山街21號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,21.0,,23.0,4/17/1984,12/31/2022,,南投縣草屯鎮中山里中山街21號
KRA00313,南投縣草屯鎮中山里太平路2段99號,草屯分局,一般住宅-如憶新貴,南投縣,草屯鎮,1.0,80.0,v,55.0,3/17/1983,12/31/2022,,南投縣草屯鎮中山里太平路2段99號
KRA00183,南投縣草屯鎮中山里太平路2段67號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,36.0,,40.0,6/7/1983,12/31/2022,,南投縣草屯鎮中山里太平路2段67號
KRA00184,南投縣草屯鎮中山里太平路2段69號,草屯分局,一般住宅-清雄漆料公司,南投縣,草屯鎮,1.0,48.0,,53.0,7/11/1985,12/31/2022,,南投縣草屯鎮中山里太平路2段69號
KRA00192,南投縣草屯鎮中山里成功路1段194號,草屯分局,草屯菸葉廠配銷處,南投縣,草屯鎮,1.0,321.0,,356.0,9/14/1982,12/31/2022,,南投縣草屯鎮中山里成功路1段194號
KRA00361,南投縣草屯鎮中山里明賢街112號,草屯分局,一般住宅,南投縣,草屯鎮,2.0,834.0,v,579.0,6/7/2018,12/31/2022,,南投縣草屯鎮中山里明賢街112號
KRA00360,南投縣草屯鎮中山里草溪路1070號1樓之1,草屯分局,一般住宅-幸福天空,南投縣,草屯鎮,2.0,450.0,v,312.0,5/2/2018,12/31/2022,,南投縣草屯鎮中山里草溪路1070號1樓之1
KRA00347,南投縣草屯鎮中山里草鞋墩一街8號,草屯分局,草屯鎮公所,南投縣,草屯鎮,2.0,4049.0,v,2811.0,5/20/1999,12/31/2022,,南投縣草屯鎮中山里草鞋墩一街8號
KRA00349,南投縣草屯鎮中山里草鞋墩一街8號,草屯分局,草屯鎮公所,南投縣,草屯鎮,1.0,4049.0,v,2811.0,5/20/1999,12/31/2022,,南投縣草屯鎮中山里草鞋墩一街8號
KRA00356,南投縣草屯鎮中原里坪腳巷20號,草屯分局,中原國小,南投縣,草屯鎮,1.0,1440.0,,1600.0,8/17/2006,12/31/2022,,南投縣草屯鎮中原里坪腳巷20號
KRA00355,南投縣草屯鎮北投里北投路文教巷43號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,200.0,v,138.0,6/30/2012,12/31/2022,,南投縣草屯鎮北投里北投路文教巷43號
KRA00034,南投縣中寮鄉永平村初中巷16號,草屯分局,中寮國中,南投縣,中寮鄉,1.0,124.0,,137.0,2/6/1982,12/31/2022,,南投縣中寮鄉永平村初中巷16號
KRA00124,南投縣草屯鎮玉峰里玉屏路210號,草屯分局,草屯國小,南投縣,草屯鎮,1.0,762.0,,846.0,6/22/1988,12/31/2022,,南投縣草屯鎮玉峰里玉屏路210號
KRA00304,南投縣草屯鎮玉峰里自由街55號,草屯分局,廣大天下,南投縣,草屯鎮,1.0,1473.0,v,1022.0,9/22/1986,12/31/2022,,南投縣草屯鎮玉峰里自由街55號
KRA00165,"南投縣草屯鎮玉峰里博愛路684號 ",草屯分局,欣林瓦斯公司,南投縣,草屯鎮,1.0,578.0,,642.0,7/14/1982,12/31/2022,不設,南投縣草屯鎮玉峰里博愛路684號
KRA00240,"南投縣草屯鎮炎峰里中正路864號 ",草屯分局,合作金庫,南投縣,草屯鎮,1.0,647.0,,718.0,7/17/1982,12/31/2022,不設,南投縣草屯鎮炎峰里中正路864號
KRA00253,南投縣草屯鎮玉峰里儒林街112號,草屯分局,鼎山建設公司天下王朝,南投縣,草屯鎮,1.0,824.0,v,572.0,7/16/1988,12/31/2022,,南投縣草屯鎮玉峰里儒林街112號
KRA00020,南投縣草屯鎮和平里太平路二段331號,草屯分局,華南銀行,南投縣,草屯鎮,1.0,33.0,,36.0,12/14/1984,12/31/2022,不設,南投縣草屯鎮和平里太平路二段331號
KRA00015,南投縣草屯鎮和平里太平路二段287號,草屯分局,惠德宮,南投縣,草屯鎮,1.0,80.0,,88.0,2/11/1986,12/31/2022,,南投縣草屯鎮和平里太平路二段287號
KRA00213,南投縣草屯鎮和平里太平路二段339號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,142.0,v,98.0,1/11/1984,12/31/2022,,南投縣草屯鎮和平里太平路二段339號
KRA00005,南投縣草屯鎮和平里太平路二段256號,草屯分局,第一銀行,南投縣,草屯鎮,1.0,60.0,,66.0,12/17/1979,12/31/2022,不設,南投縣草屯鎮和平里太平路二段256號
KRA00006,南投縣草屯鎮和平里太平路二段231號,草屯分局,王外科,南投縣,草屯鎮,1.0,13.0,,14.0,12/14/1984,12/31/2022,,南投縣草屯鎮和平里太平路二段231號
KRA00346,南投縣草屯鎮和平里碧山路80號,草屯分局,草屯公有市場,南投縣,草屯鎮,2.0,3705.0,v,2572.0,11/19/2003,12/31/2022,,南投縣草屯鎮和平里碧山路80號
KRA00348,南投縣草屯鎮和平里虎山路819號,草屯分局,草屯公有立體停車場,南投縣,草屯鎮,2.0,3969.0,v,2756.0,8/6/1999,12/31/2022,,南投縣草屯鎮和平里虎山路819號
KRA00195,南投縣草屯鎮明正里平等街140號,草屯分局,中國醫藥學院草屯院區,南投縣,草屯鎮,1.0,592.0,,657.0,3/12/1984,12/31/2022,,南投縣草屯鎮明正里平等街140號
KRA00198,南投縣草屯鎮明正里博愛路451號,草屯分局,華麗大樓,南投縣,草屯鎮,1.0,276.0,v,191.0,3/16/1982,12/31/2022,,南投縣草屯鎮明正里博愛路451號
KRA00154,南投縣草屯鎮明正里中正路889號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,27.0,,30.0,10/18/1982,12/31/2022,,南投縣草屯鎮明正里中正路889號
KRA00153,南投縣草屯鎮明正里中正路891號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,27.0,,30.0,11/16/1982,12/31/2022,,南投縣草屯鎮明正里中正路891號
KRA00152,南投縣草屯鎮明正里中正路893號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,27.0,,30.0,12/18/1982,12/31/2022,,南投縣草屯鎮明正里中正路893號
KRA00155,"南投縣草屯鎮明正里中正路887號 ",草屯分局,一般住宅,南投縣,草屯鎮,1.0,56.0,,62.0,7/25/1982,12/31/2022,,南投縣草屯鎮明正里中正路887號
KRA00154,南投縣草屯鎮明正里中正路893-1號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,41.0,,45.0,3/22/1982,12/31/2022,,南投縣草屯鎮明正里中正路893-1號
KRA00306,南投縣草屯鎮明正里中正路1130-1號,草屯分局,中正家園,南投縣,草屯鎮,1.0,1065.0,v,739.0,9/12/1992,12/31/2022,,南投縣草屯鎮明正里中正路1130-1號
KRA00243,"南投縣草屯鎮明正里成功路1段459號 ",草屯分局,上毅天下,南投縣,草屯鎮,1.0,226.0,v,156.0,11/18/1985,12/31/2022,,南投縣草屯鎮明正里成功路1段459號
KRA00291,"南投縣草屯鎮明正里成功路1段265號 ",草屯分局,大園道,南投縣,草屯鎮,1.0,1486.0,v,1031.0,10/14/1984,12/31/2022,
KRA00123,南投縣草屯鎮明正里中山街322號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,228.0,v,158.0,7/28/1989,12/31/2022,,南投縣草屯鎮明正里中山街322號
KRA00148,南投縣草屯鎮炎峰里虎山路915號,草屯分局,曾漢棋醫院,南投縣,草屯鎮,1.0,182.0,,202.0,12/19/1987,12/31/2022,,南投縣草屯鎮炎峰里虎山路915號
KRA00158,南投縣草屯鎮炎峰里虎山路792號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,36.0,,40.0,12/10/1983,12/31/2022,,南投縣草屯鎮炎峰里虎山路792號
KRA00241,南投縣草屯鎮炎峰里虎山路808號,草屯分局,草屯國中,南投縣,草屯鎮,1.0,225.0,,250.0,10/22/1983,12/31/2022,,南投縣草屯鎮炎峰里虎山路808號
KRA00248,南投縣草屯鎮炎峰里虎山路808號,草屯分局,草屯國中,南投縣,草屯鎮,1.0,91.0,,101.0,10/23/1983,12/31/2022,,南投縣草屯鎮炎峰里虎山路808號
KRA00324,南投縣草屯鎮炎峰里虎山路808號,草屯分局,草屯國中,南投縣,草屯鎮,1.0,597.0,,663.0,10/24/1983,12/31/2022,,南投縣草屯鎮炎峰里虎山路808號
KRA00299,南投縣草屯鎮炎峰里中正路601-7號,草屯分局,台灣土地銀行,南投縣,草屯鎮,1.0,2714.0,v,1884.0,11/10/1985,12/31/2022,不設,南投縣草屯鎮炎峰里中正路601-7號
KRA00305,南投縣草屯鎮炎峰里碧山路14號,草屯分局,皇家特區,南投縣,草屯鎮,1.0,1398.0,v,970.0,7/22/1986,12/31/2022,,南投縣草屯鎮炎峰里碧山路14號
KRA00310,南投縣草屯鎮炎峰里明賢街1段52弄15號,草屯分局,高明世家,南投縣,草屯鎮,1.0,3163.0,v,2196.0,9/22/1988,12/31/2022,,南投縣草屯鎮炎峰里明賢街1段52弄15號
KRA00138,南投縣草屯鎮炎峰里中正路613號,草屯分局,國泰人壽,南投縣,草屯鎮,1.0,438.0,,486.0,8/30/1983,12/31/2022,,南投縣草屯鎮炎峰里中正路613號
KRA00040,南投縣草屯鎮炎峰里中正路571-1號,草屯分局,草屯鎮立游泳池,南投縣,草屯鎮,1.0,91.0,,101.0,2/18/1982,12/31/2022,,南投縣草屯鎮炎峰里中正路571-1號
KRA00264,"南投縣草屯鎮炎峰里和興街94號 ",草屯分局,總慶建設公司,南投縣,草屯鎮,1.0,1606.0,v,1115.0,11/12/1984,12/31/2022,,南投縣草屯鎮炎峰里和興街94號
KRA00297,南投縣草屯鎮炎峰里中正路602號,草屯分局,一般住宅,南投縣,草屯鎮,1.0,1418.0,,1575.0,7/22/1984,12/31/2022,,南投縣草屯鎮炎峰里中正路602號
KRA00297,南投縣草屯鎮炎峰里中正路606號,草屯分局,草屯郵局,南投縣,草屯鎮,1.0,201.0,,223.0,7/18/1985,12/31/2022,不設,南投縣草屯鎮炎峰里中正路606號
KRA00036,"南投縣草屯鎮炎峰里中正路610號 ",草屯分局,新光人壽,南投縣,草屯鎮,1.0,318.0,,353.0,8/22/1984,12/31/2022,,南投縣草屯鎮炎峰里中正路610號
KRA00147,南投縣草屯鎮炎峰里中正路629號,草屯分局,"中華電信草屯服務處 ",南投縣,草屯鎮,1.0,124.0,,137.0,5/26/1985,12/31/2022,不設,南投縣草屯鎮炎峰里中正路629號
KRA00110,南投縣草屯鎮南埔里南平路528號,草屯分局,研習中心,南投縣,草屯鎮,1.0,328.0,,364.0,9/19/1982,12/31/2022,,南投縣草屯鎮南埔里南平路528號
KRA00287,南投縣草屯鎮南埔里中正路344-44號,草屯分局,將軍廟文教中心,南投縣,草屯鎮,1.0,1168.0,,1297.0,9/18/1984,12/31/2022,,南投縣草屯鎮南埔里中正路344-44號
KRA00342,南投縣草屯鎮御史里中正路權郎巷9號,草屯分局,崧源濾材,南投縣,草屯鎮,1.0,2764.0,,3071.0,4/23/2013,12/31/2022,,南投縣草屯鎮御史里中正路權郎巷9號
KRA00343,南投縣草屯鎮御史里中正路1747號,草屯分局,寶旺萊6號花園酒店,南投縣,草屯鎮,2.0,1590.0,v,1104.0,4/15/2016,12/31/2022,,南投縣草屯鎮御史里中正路1747號
KRA00268,南投縣草屯鎮御史里中正路1182號,草屯分局,中正龍庭,南投縣,草屯鎮,1.0,1359.0,v,943.0,3/28/1983,12/31/2022,,南投縣草屯鎮御史里中正路1182號
KRA00052,南投縣草屯鎮御史里玉屏路161號,草屯分局,草屯療養院,南投縣,草屯鎮,1.0,3124.0,,3471.0,9/12/1979,12/31/2022,,南投縣草屯鎮御史里玉屏路161號
KRA00053,"南投縣草屯鎮御史里玉屏路161號 ",草屯分局,草屯療養院-行政大樓,南投縣,草屯鎮,1.0,1477.0,,1641.0,9/13/1979,12/31/2022,,南投縣草屯鎮御史里玉屏路161號
KRA00054,南投縣草屯鎮御史里玉屏路161號,草屯分局,草屯療養院,南投縣,草屯鎮,1.0,417.0,,463.0,9/14/1979,12/31/2022,,南投縣草屯鎮御史里玉屏路161號
KRA00055,南投縣草屯鎮御史里玉屏路161號,草屯分局,草屯療養院,南投縣,草屯鎮,1.0,198.0,,220.0,9/15/1979,12/31/2022,,南投縣草屯鎮御史里玉屏路161號
KRA00364,"南投縣草屯鎮御史里18鄰大覺路976 號",草屯分局,大乘寶塔納骨塔,南投縣,草屯鎮,1.0,453.0,,503.0,3/13/2021,12/31/2022,,"南投縣草屯鎮御史里18鄰大覺路976 號"
KRA00365,南投縣草屯鎮御史里28鄰中正路權郎巷7號,草屯分局,大樓,南投縣,草屯鎮,1.0,1168.0,,1297.0,3/14/2021,12/31/2022,
KRA00057,南投縣草屯鎮富寮里中正路572號,草屯分局,國立手工藝研究所設計館,南投縣,草屯鎮,1.0,1050.0,,1166.0,12/20/1984,12/31/2022,,南投縣草屯鎮富寮里中正路572號
